strategy,size,num_workers,time_seconds
serial,64,4,0.007283
parallel_rows,64,4,0.117779
parallel_cols,64,4,0.072394
parallel_blocks,64,4,0.069371
strassen,64,4,0.010976
serial,128,4,0.05681
parallel_rows,128,4,0.083321
parallel_cols,128,4,0.085003
parallel_blocks,128,4,0.084268
strassen,128,4,0.078073
serial,256,4,0.460536
parallel_rows,256,4,0.193567
parallel_cols,256,4,0.191155
parallel_blocks,256,4,0.222819
strassen,256,4,0.553124
serial,512,4,4.251311
parallel_rows,512,4,1.311974
parallel_cols,512,4,1.237652
parallel_blocks,512,4,1.260204
strassen,512,4,3.974199
